,Titile,Price,redPrice,yellowPrice,bluePrice,brandName,category,swatchesTotal,sellingAttribute,link
80,Wrap Dress,$34.99 ,,,,H&M,Ladies_dresses_wrap,3,New Arrival,https://www2.hm.com/en_us/productpage.1138612005.html
81,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1089235002.html
82,Biker Jacket,$64.99 ,,,,H&M,ladies_jacketscoats_biker,1,New Arrival,https://www2.hm.com/en_us/productpage.1072847001.html
83,Dress Pants,$24.99 ,,,,H&M,ladies_divided_new_clothes,4,New Arrival,https://www2.hm.com/en_us/productpage.1107363002.html
84,Sleeveless Mini Dress,$49.99 ,,,,H&M,ladies_dresses_shortdresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1138608001.html
85,Ribbed Mock Turtleneck Sweater,$34.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,3,New Arrival,https://www2.hm.com/en_us/productpage.1122247004.html
86,Wide High Jeans,$34.99 ,,,,H&M,ladies_jeans,4,New Arrival,https://www2.hm.com/en_us/productpage.1045459012.html
87,High Waist Joggers,$24.99 ,,,,H&M,ladies_basics_trousersleggings,9,New Arrival,https://www2.hm.com/en_us/productpage.0975845037.html
88,Crêpe dress,$39.99 ,,,,H&M,Ladies_dresses_wrap,1,New Arrival,https://www2.hm.com/en_us/productpage.1145517001.html
89,Satin Pajama Shirt and Pants,$34.99 ,,,,H&M,ladies_night,3,New Arrival,https://www2.hm.com/en_us/productpage.1135056005.html
90,Parachute Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1112962004.html
91,Wide-leg Twill Pants,$19.99 ,,,,H&M,ladies_trousers_highwaisted,4,New Arrival,https://www2.hm.com/en_us/productpage.1107360004.html
92,Boxy Drawstring Hoodie,$29.99 ,,,,H&M,ladies_nightwear_loungewear,2,New Arrival,https://www2.hm.com/en_us/productpage.1005174004.html
93,Fringe-trimmed Dress,$64.99 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1135096001.html
94,Loafers,$34.99 ,,,,H&M,Ladies_shoes_loafers,3,New Arrival,https://www2.hm.com/en_us/productpage.1115290001.html
95,Slacks,$19.99 ,,,,H&M,ladies_trousers_chinosslacks,4,New Arrival,https://www2.hm.com/en_us/productpage.0751471100.html
